,nsites,nelements,chemsys,material_id,band_gap,symmetry.crystal_system
0,5,2,Ac-O,mp-11107,3.522599999999999,trigonal
1,8,2,Ac-Br,mp-27972,4.103299999999999,hexagonal
2,6,3,Ac-Br-O,mp-30274,4.241,tetragonal
3,8,2,Ac-Cl,mp-27971,5.0865,hexagonal
4,6,3,Ac-Cl-O,mp-30273,4.4451,tetragonal
5,3,2,Ac-H,mp-24147,0.0,cubic
6,2,1,Ag,mp-10597,0.0,hexagonal
7,1,1,Ag,mp-124,0.0,cubic
8,4,1,Ag,mp-8566,0.0,hexagonal
9,22,3,Ag-Au-F,mp-18125,0.258499999999999,monoclinic
10,104,3,Ag-B-Cl,mp-567334,2.7028,cubic
11,13,3,Ag-Mo-Te,mp-29607,0.0,monoclinic
12,84,3,Ag-Br-W,mp-29717,0.0,cubic
13,68,3,Ag-Br-Te,mp-568386,0.9637000000000001,orthorhombic
14,68,3,Ag-Br-Te,mp-568392,0.8722000000000001,orthorhombic
15,122,5,Ag-H-N-Se-Sn,mp-1195193,0.22229999999999903,monoclinic
16,64,4,Ag-As-I-O,mp-1199256,0.33329999999999904,monoclinic
17,76,4,Ag-Cl-P-S,mp-560328,1.288799999999999,cubic
18,46,3,Ag-Bi-O,mp-28729,0.056799999999999004,trigonal
19,40,3,Ag-As-S,mp-1197575,0.533399999999999,monoclinic
20,92,3,Ag-B-O,mp-554873,3.4397,monoclinic
21,36,4,Ag-Bi-Cl-S,mp-559071,1.6367999999999991,triclinic
22,24,3,Ag-Bi-O,mp-23558,0.38720000000000004,orthorhombic
23,24,3,Ag-Bi-O,mp-558712,0.0,orthorhombic
24,24,3,Ag-Bi-O,mp-561113,0.5053000000000001,monoclinic
25,28,4,Ag-Br-N-O,mp-556345,1.6045,orthorhombic
26,12,3,Ag-C-O,mp-4691,0.4736,monoclinic
27,3,2,Ag-F,mp-1391,0.0,trigonal
28,28,2,Ag-F,mp-542298,0.0,triclinic
29,180,4,Ag-Ge-O-S,mp-1196546,2.8072,trigonal
30,16,4,Ag-Ge-Pb-S,mp-861942,1.3699,orthorhombic
31,12,3,Ag-Ge-S,mp-9900,0.4646,orthorhombic
32,14,5,Ag-F-H-I-O,mp-690687,1.4591,monoclinic
33,84,4,Ag-H-O-S,mp-860963,2.8821,orthorhombic
34,88,4,Ag-Hg-O-Se,mp-558763,1.9351,orthorhombic
35,38,4,Ag-Hg-O-Te,mp-553949,0.16060000000000002,monoclinic
36,76,4,Ag-As-Hg-I,mp-23592,0.8340999999999991,cubic
37,23,4,Ag-Br-Hg-P,mp-571425,0.7716000000000001,monoclinic
38,23,4,Ag-Hg-I-P,mp-672339,0.7439,monoclinic
39,7,3,Ag-Hg-I,mp-23485,1.2219,tetragonal
40,7,3,Ag-Hg-I,mp-570256,1.100399999999999,tetragonal
41,20,3,Ag-Hg-O,mp-29816,0.41029999999999905,tetragonal
